# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-8.440421e-13	2.620041e+02	6.787856e-07	3.393919e-07	3.393936e-07
0.01          	-9.415505e-12	6.035615e+00	-6.451294e-07	-3.225741e-07	-3.225553e-07
0.015         	-7.576313e-12	4.641840e+00	-8.099027e-08	-4.050271e-08	-4.048756e-08
0.02          	-8.676174e-12	3.472101e+00	5.796891e-08	2.897578e-08	2.899313e-08
0.025         	-1.138189e-11	2.764112e+00	-5.069590e-08	-2.535933e-08	-2.533657e-08
0.03          	-1.351051e-11	2.306679e+00	-3.246783e-08	-1.624743e-08	-1.622041e-08
0.035         	-2.447268e-11	1.998471e+00	-1.861940e-08	-9.334174e-09	-9.285229e-09
0.04          	-3.813532e-11	1.784686e+00	1.426629e-07	7.129330e-08	7.136957e-08
0.045         	-5.196592e-11	1.633150e+00	-1.551291e-07	-7.761652e-08	-7.751259e-08
0.05          	-6.708235e-11	1.524163e+00	1.647308e-07	8.229833e-08	8.243249e-08
0.055         	-8.213354e-11	1.444742e+00	-1.007909e-07	-5.047760e-08	-5.031333e-08
0.06          	-9.754223e-11	1.386278e+00	1.185259e-07	5.916539e-08	5.936048e-08
0.065         	-1.122704e-10	1.343061e+00	-1.257909e-07	-6.300773e-08	-6.278319e-08
0.07          	-1.265122e-10	1.310894e+00	3.147155e-08	1.560926e-08	1.586229e-08
0.075         	-1.402458e-10	1.286706e+00	-2.589674e-08	-1.308862e-08	-1.280813e-08
0.08          	-1.530908e-10	1.268538e+00	5.900298e-09	2.797058e-09	3.103240e-09
0.085         	-1.653939e-10	1.254887e+00	-1.469266e-08	-7.511724e-09	-7.180937e-09
0.09          	-1.770241e-10	1.244655e+00	-4.369841e-10	-3.955161e-10	-4.146801e-11
0.095         	-1.882780e-10	1.237029e+00	-8.723799e-09	-4.550178e-09	-4.173622e-09
0.1           	-1.990095e-10	1.231401e+00	3.992713e-09	1.797347e-09	2.195366e-09
0.105         	-2.094658e-10	1.227318e+00	4.787906e-09	2.184487e-09	2.603419e-09
0.11          	-2.195775e-10	1.224433e+00	7.768217e-09	3.664531e-09	4.103686e-09
0.115         	-2.291411e-10	1.222594e+00	-4.007811e-08	-2.026820e-08	-1.980991e-08
0.12          	-2.387608e-10	1.221337e+00	7.625106e-08	3.788677e-08	3.836429e-08
0.125         	-2.478907e-10	1.220803e+00	-5.548988e-08	-2.799283e-08	-2.749705e-08
0.13          	-2.571439e-10	1.220534e+00	1.018149e-07	5.065029e-08	5.116458e-08
0.135         	-2.656090e-10	1.221026e+00	-9.602055e-08	-4.827588e-08	-4.774467e-08
0.14          	-2.742773e-10	1.221619e+00	1.118374e-07	5.564444e-08	5.619299e-08
0.145         	-2.825832e-10	1.222576e+00	-9.362529e-08	-4.709523e-08	-4.653006e-08
0.15          	-2.908846e-10	1.223495e+00	8.890726e-08	4.416274e-08	4.474451e-08
0.155         	-2.989878e-10	1.224760e+00	-4.661234e-08	-2.360516e-08	-2.300718e-08
0.16          	-3.070697e-10	1.225987e+00	6.499184e-08	3.218885e-08	3.280299e-08
0.165         	-3.150202e-10	1.227436e+00	-2.471497e-08	-1.267251e-08	-1.204247e-08
0.17          	-3.228893e-10	1.228883e+00	2.822859e-08	1.379141e-08	1.443719e-08
0.175         	-3.308570e-10	1.230458e+00	1.188854e-09	2.635699e-10	9.252839e-10
0.18          	-3.387073e-10	1.232030e+00	2.677313e-08	1.304786e-08	1.372527e-08
0.185         	-3.465625e-10	1.233663e+00	9.366413e-09	4.336644e-09	5.029769e-09
0.19          	-3.543446e-10	1.235307e+00	2.268745e-08	1.098938e-08	1.169807e-08
0.195         	-3.621489e-10	1.236980e+00	1.612930e-08	7.702502e-09	8.426800e-09
0.2           	-3.633040e-10	1.238656e+00	1.943194e-08	9.352665e-09	1.007927e-08
0.205         	-3.643046e-10	1.240342e+00	2.183639e-08	1.055389e-08	1.128250e-08
0.21          	-3.652602e-10	1.242034e+00	6.796873e-09	3.033176e-09	3.763696e-09
0.215         	-3.659907e-10	1.243720e+00	2.756996e-08	1.341899e-08	1.415097e-08
0.22          	-3.665872e-10	1.245393e+00	1.801112e-08	8.638973e-09	9.372148e-09
0.225         	-3.672397e-10	1.247064e+00	2.532043e-08	1.229298e-08	1.302745e-08
0.23          	-3.675689e-10	1.248822e+00	6.567600e-09	2.916231e-09	3.651369e-09
0.235         	-3.678806e-10	1.250416e+00	3.822007e-08	1.874215e-08	1.947792e-08
0.24          	-3.680577e-10	1.252142e+00	7.222729e-09	3.243307e-09	3.979422e-09
0.245         	-3.681324e-10	1.253637e+00	3.591329e-08	1.758851e-08	1.832478e-08
0.25          	-3.681714e-10	1.255388e+00	2.956802e-09	1.110230e-09	1.846573e-09
0.255         	-3.681252e-10	1.256766e+00	3.734903e-08	1.830639e-08	1.904264e-08
0.26          	-3.678495e-10	1.258654e+00	8.475815e-09	3.870058e-09	4.605757e-09
0.265         	-3.677068e-10	1.260114e+00	4.049475e-08	1.987967e-08	2.061508e-08
0.27          	-3.672562e-10	1.261947e+00	3.446401e-09	1.355944e-09	2.090457e-09
0.275         	-3.668482e-10	1.263247e+00	4.795833e-08	2.361232e-08	2.434601e-08
0.28          	-3.664133e-10	1.265022e+00	-2.612530e-09	-1.672678e-09	-9.398517e-10
0.285         	-3.658038e-10	1.266315e+00	4.507254e-08	2.217046e-08	2.290207e-08
0.29          	-3.651883e-10	1.268000e+00	3.277773e-09	1.273698e-09	2.004075e-09
0.295         	-3.645417e-10	1.269310e+00	3.419726e-08	1.673409e-08	1.746317e-08
0.3           	-3.638334e-10	1.270893e+00	9.188206e-09	4.230270e-09	4.957937e-09
0.305         	-3.629751e-10	1.272223e+00	2.470872e-08	1.199138e-08	1.271733e-08
0.31          	-3.619639e-10	1.273709e+00	1.913616e-08	9.206115e-09	9.930043e-09
0.315         	-3.609338e-10	1.275048e+00	1.881455e-08	9.046341e-09	9.768208e-09
0.32          	-3.597703e-10	1.276455e+00	1.900143e-08	9.140945e-09	9.860486e-09
0.325         	-3.585072e-10	1.277783e+00	1.349149e-08	6.387239e-09	7.104253e-09
0.33          	-3.569535e-10	1.279131e+00	1.149695e-08	5.391520e-09	6.105426e-09
0.335         	-3.553840e-10	1.280434e+00	2.374394e-08	1.151658e-08	1.222735e-08
0.34          	-3.538596e-10	1.281730e+00	1.501595e-08	7.154114e-09	7.861833e-09
0.345         	-3.521313e-10	1.282998e+00	2.642302e-08	1.285938e-08	1.356364e-08
0.35          	-3.503671e-10	1.284253e+00	1.113373e-08	5.216499e-09	5.917234e-09
0.355         	-3.579372e-10	1.285488e+00	2.558600e-08	1.243506e-08	1.315094e-08
0.36          	-3.657020e-10	1.286704e+00	2.559410e-08	1.243135e-08	1.316275e-08
0.365         	-3.734926e-10	1.287903e+00	1.797045e-08	8.611733e-09	9.358718e-09
0.37          	-3.812744e-10	1.289084e+00	1.634365e-08	7.790549e-09	8.553098e-09
0.375         	-3.888705e-10	1.290248e+00	3.217184e-08	1.569705e-08	1.647479e-08
0.38          	-3.966966e-10	1.291395e+00	2.411661e-08	1.166161e-08	1.245500e-08
0.385         	-4.045281e-10	1.292526e+00	2.463653e-08	1.191374e-08	1.272279e-08
0.39          	-4.123628e-10	1.293640e+00	1.338250e-08	6.278886e-09	7.103612e-09
0.395         	-4.199714e-10	1.294738e+00	3.421012e-08	1.668509e-08	1.752503e-08
0.4           	-4.277578e-10	1.295820e+00	2.704767e-08	1.309608e-08	1.395159e-08
0.405         	-4.356402e-10	1.296888e+00	2.831585e-08	1.372228e-08	1.459356e-08
0.41          	-4.435021e-10	1.297940e+00	2.548047e-08	1.229673e-08	1.318374e-08
0.415         	-4.513553e-10	1.298976e+00	2.208719e-08	1.059224e-08	1.149495e-08
0.42          	-4.592598e-10	1.299998e+00	3.267332e-08	1.587740e-08	1.679592e-08
0.425         	-4.671127e-10	1.301048e+00	1.676038e-08	7.913077e-09	8.847302e-09
0.43          	-4.750584e-10	1.302105e+00	4.661150e-08	2.283069e-08	2.378081e-08
0.435         	-4.829857e-10	1.303021e+00	8.036446e-09	3.535237e-09	4.501209e-09
0.44          	-4.910486e-10	1.304105e+00	5.516761e-08	2.709276e-08	2.807485e-08
0.445         	-4.990270e-10	1.304914e+00	-2.801347e-09	-1.899700e-09	-9.016463e-10
0.45          	-5.071765e-10	1.306070e+00	7.316740e-08	3.607652e-08	3.709088e-08
0.455         	-5.152215e-10	1.306731e+00	-1.509867e-08	-8.064558e-09	-7.034115e-09
0.46          	-5.234347e-10	1.308000e+00	7.857727e-08	3.876520e-08	3.981207e-08
0.465         	-5.316069e-10	1.308481e+00	-2.611419e-08	-1.358870e-08	-1.252549e-08
