# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-4.930339e-13	2.914956e+02	6.427047e-07	3.213519e-07	3.213529e-07
0.01          	1.084056e-10	1.832246e+00	-2.176401e-06	-1.088092e-06	-1.088309e-06
0.015         	1.124123e-10	4.401783e+00	5.328456e-07	2.665352e-07	2.663104e-07
0.02          	-3.035371e-11	3.084948e+00	-3.825091e-07	-1.912849e-07	-1.912242e-07
0.025         	-6.128989e-11	2.542329e+00	3.206362e-07	1.602568e-07	1.603794e-07
0.03          	-1.375987e-10	2.260043e+00	1.912411e-07	9.548295e-08	9.575814e-08
0.035         	-2.417526e-10	2.100761e+00	2.425404e-07	1.210285e-07	1.215120e-07
0.04          	-3.638965e-10	2.002939e+00	2.639969e-07	1.316346e-07	1.323623e-07
0.045         	-5.017698e-10	1.937798e+00	2.760197e-07	1.375081e-07	1.385116e-07
0.05          	-6.514963e-10	1.891041e+00	2.664515e-07	1.325742e-07	1.338772e-07
0.055         	-8.117307e-10	1.855308e+00	2.455552e-07	1.219659e-07	1.235893e-07
0.06          	-9.814276e-10	1.826512e+00	2.646803e-07	1.313587e-07	1.333216e-07
0.065         	-1.160482e-09	1.802469e+00	2.523470e-07	1.250130e-07	1.273340e-07
0.07          	-1.348000e-09	1.781840e+00	2.707652e-07	1.340346e-07	1.367306e-07
0.075         	-1.543647e-09	1.763824e+00	2.948147e-07	1.458637e-07	1.489510e-07
0.08          	-1.745435e-09	1.747893e+00	1.104658e-07	5.348748e-08	5.697835e-08
0.085         	-1.950537e-09	1.733667e+00	2.384789e-07	1.172889e-07	1.211900e-07
0.09          	-2.162242e-09	1.720803e+00	2.245197e-07	1.100976e-07	1.144221e-07
0.095         	-2.378438e-09	1.709112e+00	1.227913e-07	5.901721e-08	6.377408e-08
0.1           	-2.598653e-09	1.698411e+00	3.400121e-07	1.674074e-07	1.726047e-07
0.105         	-2.826290e-09	1.688530e+00	1.428767e-07	6.861207e-08	7.426465e-08
0.11          	-3.056955e-09	1.679379e+00	3.289541e-07	1.614201e-07	1.675340e-07
0.115         	-3.294649e-09	1.670826e+00	1.796662e-07	8.653845e-08	9.312775e-08
0.12          	-3.534323e-09	1.662861e+00	1.660969e-07	7.951413e-08	8.658277e-08
0.125         	-3.776998e-09	1.655342e+00	1.767352e-07	8.459063e-08	9.214462e-08
0.13          	-4.023862e-09	1.648208e+00	2.626517e-07	1.273020e-07	1.353497e-07
0.135         	-4.274531e-09	1.641419e+00	8.741318e-08	3.943206e-08	4.798112e-08
0.14          	-4.527745e-09	1.634972e+00	3.829977e-07	1.869711e-07	1.960266e-07
0.145         	-4.787836e-09	1.628732e+00	1.087458e-07	4.958506e-08	5.916073e-08
0.15          	-5.049714e-09	1.622794e+00	3.722943e-07	1.810974e-07	1.911969e-07
0.155         	-5.318094e-09	1.617009e+00	1.485510e-07	6.895743e-08	7.959362e-08
0.16          	-5.588405e-09	1.611457e+00	3.387940e-07	1.638086e-07	1.749854e-07
0.165         	-5.864365e-09	1.606112e+00	1.493733e-07	6.882230e-08	8.055103e-08
0.17          	-6.141718e-09	1.600921e+00	2.913803e-07	1.395484e-07	1.518319e-07
0.175         	-6.423877e-09	1.595849e+00	2.267822e-07	1.069672e-07	1.198150e-07
0.18          	-6.708550e-09	1.590965e+00	2.416814e-07	1.141322e-07	1.275493e-07
0.185         	-6.996654e-09	1.586141e+00	2.855326e-07	1.357696e-07	1.497629e-07
0.19          	-7.288721e-09	1.581485e+00	2.421192e-07	1.137709e-07	1.283483e-07
0.195         	-7.583491e-09	1.576892e+00	2.804557e-07	1.326444e-07	1.478113e-07
0.2           	-7.881924e-09	1.572438e+00	2.652373e-07	1.247367e-07	1.405006e-07
0.205         	-8.182947e-09	1.568053e+00	2.847493e-07	1.341917e-07	1.505576e-07
0.21          	-8.486977e-09	1.563810e+00	2.633849e-07	1.232055e-07	1.401794e-07
0.215         	-8.793467e-09	1.559689e+00	2.741851e-07	1.282991e-07	1.458860e-07
0.22          	-9.102694e-09	1.555639e+00	2.743815e-07	1.280880e-07	1.462934e-07
0.225         	-9.414100e-09	1.551693e+00	2.965433e-07	1.388575e-07	1.576857e-07
0.23          	-9.727687e-09	1.547760e+00	2.737082e-07	1.271264e-07	1.465818e-07
0.235         	-1.004345e-08	1.543973e+00	2.700360e-07	1.249746e-07	1.450615e-07
0.24          	-1.036118e-08	1.540208e+00	2.789581e-07	1.291179e-07	1.498403e-07
0.245         	-1.068071e-08	1.536564e+00	2.763678e-07	1.275032e-07	1.488646e-07
0.25          	-1.100198e-08	1.532959e+00	2.805803e-07	1.292882e-07	1.512922e-07
0.255         	-1.132478e-08	1.529448e+00	2.785140e-07	1.279322e-07	1.505818e-07
0.26          	-1.164889e-08	1.525991e+00	2.814160e-07	1.290591e-07	1.523569e-07
0.265         	-1.197489e-08	1.522713e+00	3.379335e-07	1.569919e-07	1.809417e-07
0.27          	-1.230249e-08	1.519503e+00	2.647925e-07	1.200937e-07	1.446987e-07
0.275         	-1.263034e-08	1.516255e+00	3.237518e-07	1.492455e-07	1.745062e-07
0.28          	-1.295979e-08	1.513155e+00	2.711005e-07	1.225904e-07	1.485100e-07
0.285         	-1.328929e-08	1.510048e+00	3.134550e-07	1.434382e-07	1.700168e-07
0.29          	-1.361999e-08	1.507060e+00	2.742886e-07	1.235243e-07	1.507643e-07
0.295         	-1.395078e-08	1.504092e+00	3.057590e-07	1.389287e-07	1.668303e-07
0.3           	-1.428235e-08	1.501214e+00	2.731810e-07	1.223081e-07	1.508728e-07
0.305         	-1.461414e-08	1.498372e+00	3.038493e-07	1.373105e-07	1.665388e-07
0.31          	-1.494634e-08	1.495612e+00	2.985378e-07	1.343226e-07	1.642152e-07
0.315         	-1.527892e-08	1.492965e+00	3.472017e-07	1.583219e-07	1.888798e-07
0.32          	-1.561198e-08	1.490389e+00	2.693230e-07	1.190495e-07	1.502735e-07
0.325         	-1.594390e-08	1.487876e+00	3.285212e-07	1.483167e-07	1.802045e-07
0.33          	-1.627608e-08	1.485355e+00	2.819335e-07	1.246907e-07	1.572428e-07
0.335         	-1.660744e-08	1.482946e+00	3.169473e-07	1.418662e-07	1.750811e-07
0.34          	-1.693851e-08	1.480550e+00	2.847907e-07	1.254568e-07	1.593338e-07
0.345         	-1.726892e-08	1.478240e+00	3.111469e-07	1.383045e-07	1.728424e-07
0.35          	-1.759872e-08	1.475967e+00	2.882198e-07	1.265112e-07	1.617086e-07
0.355         	-1.792757e-08	1.473762e+00	3.091761e-07	1.366605e-07	1.725156e-07
0.36          	-1.825567e-08	1.471603e+00	2.946238e-07	1.290562e-07	1.655676e-07
0.365         	-1.858321e-08	1.469564e+00	3.549590e-07	1.588963e-07	1.960627e-07
0.37          	-1.890998e-08	1.467476e+00	2.161823e-07	8.918118e-08	1.270012e-07
0.375         	-1.923528e-08	1.465521e+00	3.781608e-07	1.698451e-07	2.083157e-07
0.38          	-1.956086e-08	1.463620e+00	2.710752e-07	1.159768e-07	1.550985e-07
0.385         	-1.988423e-08	1.461780e+00	3.309900e-07	1.456108e-07	1.853793e-07
0.39          	-2.020672e-08	1.459946e+00	2.977196e-07	1.286531e-07	1.690665e-07
