# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.107005e-12	2.294666e+02	-1.192232e-06	-5.961149e-07	-5.961171e-07
0.01          	2.114846e-11	1.646569e-01	9.544182e-07	4.772302e-07	4.771879e-07
0.015         	8.916591e-12	4.582594e+00	2.736356e-09	1.377094e-09	1.359261e-09
0.02          	1.757275e-12	3.792659e+00	3.617838e-08	1.809095e-08	1.808743e-08
0.025         	-1.301567e-12	3.340131e+00	1.886813e-08	9.432765e-09	9.435368e-09
0.03          	-2.653487e-12	3.011195e+00	3.196120e-08	1.597795e-08	1.598325e-08
0.035         	-3.279290e-12	2.768858e+00	4.683497e-08	2.341421e-08	2.342077e-08
0.04          	-3.545857e-12	2.587397e+00	1.881314e-08	9.403027e-09	9.410118e-09
0.045         	-3.495709e-12	2.449961e+00	1.609844e-08	8.045722e-09	8.052714e-09
0.05          	-3.401029e-12	2.345020e+00	1.621521e-08	8.104205e-09	8.111007e-09
0.055         	-3.625980e-12	2.264429e+00	1.237001e-08	6.181381e-09	6.188633e-09
0.06          	-4.771010e-12	2.202404e+00	6.458318e-09	3.224388e-09	3.233930e-09
0.065         	-3.529796e-12	2.154536e+00	7.224411e-09	3.608676e-09	3.615735e-09
0.07          	-1.065770e-12	2.117566e+00	-2.568436e-09	-1.285284e-09	-1.283152e-09
0.075         	1.476672e-12	2.089053e+00	1.355485e-08	6.778902e-09	6.775948e-09
0.08          	3.999942e-12	2.067153e+00	1.072165e-09	5.400827e-10	5.320828e-10
0.085         	7.532092e-12	2.050400e+00	2.725456e-08	1.363481e-08	1.361975e-08
0.09          	1.164290e-11	2.037642e+00	2.583402e-08	1.292865e-08	1.290537e-08
0.095         	1.478246e-11	2.028064e+00	9.904834e-09	4.967199e-09	4.937634e-09
0.1           	1.809949e-11	2.020952e+00	2.573221e-08	1.288420e-08	1.284801e-08
0.105         	2.086937e-11	2.015795e+00	1.206002e-08	6.050881e-09	6.009142e-09
0.11          	2.345298e-11	2.012168e+00	2.052228e-08	1.028459e-08	1.023769e-08
0.115         	2.570350e-11	2.009744e+00	1.858617e-08	9.318786e-09	9.267379e-09
0.12          	2.767794e-11	2.008264e+00	1.978055e-08	9.917953e-09	9.862597e-09
0.125         	2.936009e-11	2.007522e+00	1.700821e-08	8.533466e-09	8.474745e-09
0.13          	3.077424e-11	2.007357e+00	1.738308e-08	8.722317e-09	8.660768e-09
0.135         	3.192294e-11	2.007639e+00	1.694978e-08	8.506813e-09	8.442967e-09
0.14          	3.281183e-11	2.008265e+00	1.651633e-08	8.290976e-09	8.225352e-09
0.145         	3.345434e-11	2.009153e+00	1.677480e-08	8.420856e-09	8.353947e-09
0.15          	3.384905e-11	2.010242e+00	1.690335e-08	8.485522e-09	8.417823e-09
0.155         	3.400379e-11	2.011479e+00	1.816979e-08	9.118900e-09	9.050892e-09
0.16          	3.391494e-11	2.012823e+00	2.032557e-08	1.019670e-08	1.012887e-08
0.165         	3.356764e-11	2.014244e+00	1.650997e-08	8.288554e-09	8.221419e-09
0.17          	3.299389e-11	2.015716e+00	1.518457e-08	7.625280e-09	7.559293e-09
0.175         	3.219775e-11	2.017220e+00	1.211888e-08	6.091636e-09	6.027241e-09
0.18          	3.121011e-11	2.018738e+00	1.629633e-08	8.179375e-09	8.116955e-09
0.185         	2.998340e-11	2.020259e+00	1.707765e-08	8.568807e-09	8.508840e-09
0.19          	2.849532e-11	2.021773e+00	1.404327e-08	7.050131e-09	6.993141e-09
