# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-8.313364e-13	2.755817e+02	1.914122e-07	9.570526e-08	9.570692e-08
0.01          	4.399528e-10	-1.749028e+01	-5.613052e-07	-2.802127e-07	-2.810926e-07
0.015         	3.038997e-10	8.117865e+00	8.477039e-07	4.241559e-07	4.235481e-07
0.02          	3.062402e-10	4.173045e+00	-7.364509e-09	-3.376014e-09	-3.988495e-09
0.025         	2.487776e-10	3.936786e+00	1.298655e-07	6.518154e-08	6.468398e-08
0.03          	1.837504e-10	3.588920e+00	1.299965e-07	6.518199e-08	6.481449e-08
0.035         	1.147794e-10	3.413384e+00	1.085258e-07	5.437769e-08	5.414813e-08
0.04          	4.188931e-11	3.305433e+00	1.145440e-07	5.731390e-08	5.723012e-08
0.045         	-3.260736e-11	3.238608e+00	-3.441555e-08	-1.724038e-08	-1.717517e-08
0.05          	-1.040864e-10	3.194842e+00	2.220432e-07	1.109175e-07	1.111257e-07
0.055         	-1.782399e-10	3.164493e+00	3.610743e-08	1.787547e-08	1.823195e-08
0.06          	-2.526198e-10	3.142093e+00	1.252702e-07	6.238248e-08	6.288772e-08
0.065         	-3.286192e-10	3.124542e+00	9.036379e-08	4.485328e-08	4.551051e-08
0.07          	-4.052352e-10	3.110055e+00	9.188462e-08	4.553707e-08	4.634754e-08
0.075         	-4.826272e-10	3.097602e+00	8.739053e-08	4.321264e-08	4.417789e-08
0.08          	-5.607036e-10	3.086571e+00	9.491256e-08	4.689558e-08	4.801699e-08
0.085         	-6.396763e-10	3.076594e+00	1.004890e-07	4.960480e-08	5.088416e-08
0.09          	-7.198230e-10	3.067432e+00	1.077680e-07	5.316420e-08	5.460384e-08
