# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.194818e-13	2.620099e+02	3.747312e-08	1.873668e-08	1.873644e-08
0.01          	-6.541821e-12	6.051387e+00	-5.328480e-08	-2.664894e-08	-2.663586e-08
0.015         	-4.553021e-12	4.639919e+00	-1.885070e-08	-9.429903e-09	-9.420797e-09
0.02          	-5.448975e-12	3.471125e+00	5.008469e-08	2.503690e-08	2.504780e-08
0.025         	-7.904953e-12	2.763399e+00	1.701434e-09	8.428118e-10	8.586217e-10
0.03          	-9.944490e-12	2.306133e+00	-4.840714e-08	-2.421351e-08	-2.419362e-08
0.035         	-1.174182e-11	1.998047e+00	-8.299798e-08	-4.151073e-08	-4.148725e-08
0.04          	-2.873297e-11	1.784350e+00	1.560468e-07	7.799467e-08	7.805213e-08
0.045         	-4.532655e-11	1.632883e+00	-1.295579e-07	-6.482427e-08	-6.473361e-08
0.05          	-6.273406e-11	1.523949e+00	1.386027e-07	6.923860e-08	6.936407e-08
0.055         	-7.944746e-11	1.444569e+00	-8.671036e-08	-4.343463e-08	-4.327573e-08
0.06          	-9.609060e-11	1.386140e+00	1.385423e-07	6.917505e-08	6.936723e-08
0.065         	-1.117260e-10	1.342950e+00	-1.328440e-07	-6.653374e-08	-6.631029e-08
0.07          	-1.264431e-10	1.310807e+00	3.243128e-08	1.608920e-08	1.634208e-08
0.075         	-1.403663e-10	1.286638e+00	-4.635954e-09	-2.458343e-09	-2.177611e-09
0.08          	-1.535687e-10	1.268487e+00	2.788609e-09	1.240736e-09	1.547873e-09
0.085         	-1.658357e-10	1.254850e+00	-7.597168e-09	-3.964419e-09	-3.632748e-09
0.09          	-1.774210e-10	1.244632e+00	1.231325e-10	-1.158547e-10	2.389872e-10
0.095         	-1.884330e-10	1.237015e+00	-1.895462e-09	-1.136164e-09	-7.592980e-10
0.1           	-1.988377e-10	1.231397e+00	4.095915e-09	1.849120e-09	2.246795e-09
0.105         	-2.088094e-10	1.227322e+00	7.940609e-09	3.761495e-09	4.179114e-09
0.11          	-2.184059e-10	1.224445e+00	9.849420e-09	4.706304e-09	5.143116e-09
0.115         	-2.273708e-10	1.222613e+00	-3.965199e-08	-2.005336e-08	-1.959862e-08
0.12          	-2.298061e-10	1.221361e+00	8.294620e-08	4.124329e-08	4.170291e-08
0.125         	-2.318202e-10	1.220832e+00	-6.339119e-08	-3.192742e-08	-3.146378e-08
0.13          	-2.339395e-10	1.220568e+00	1.244349e-07	6.198349e-08	6.245137e-08
0.135         	-2.355792e-10	1.221065e+00	-1.036430e-07	-5.205708e-08	-5.158592e-08
0.14          	-2.373554e-10	1.221661e+00	1.126607e-07	5.609301e-08	5.656772e-08
0.145         	-2.387991e-10	1.222623e+00	-9.509597e-08	-4.778678e-08	-4.730919e-08
