# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	3.841757e-13	2.774161e+02	2.679116e-07	1.339562e-07	1.339554e-07
0.01          	-5.550947e-12	5.424461e+00	-4.752347e-07	-2.376229e-07	-2.376118e-07
0.015         	-3.619780e-12	4.797268e+00	2.637175e-07	1.318551e-07	1.318624e-07
0.02          	5.846943e-12	3.399117e+00	-4.016275e-08	-2.007553e-08	-2.008722e-08
0.025         	-2.118974e-11	2.674547e+00	-5.231771e-08	-2.618004e-08	-2.613766e-08
0.03          	-4.791447e-11	2.259304e+00	2.546316e-08	1.268366e-08	1.277949e-08
0.035         	-7.148287e-11	2.008332e+00	3.877983e-08	1.931843e-08	1.946140e-08
0.04          	-9.293148e-11	1.850292e+00	7.387414e-08	3.684414e-08	3.703000e-08
0.045         	-1.114115e-10	1.747229e+00	2.097561e-08	1.037639e-08	1.059922e-08
0.05          	-1.295271e-10	1.677819e+00	2.170412e-08	1.072253e-08	1.098159e-08
0.055         	-1.459417e-10	1.629550e+00	3.159518e-08	1.565165e-08	1.594353e-08
0.06          	-1.618425e-10	1.594980e+00	3.611615e-08	1.789623e-08	1.821992e-08
0.065         	-1.764108e-10	1.569244e+00	4.003397e-08	1.984057e-08	2.019340e-08
0.07          	-1.899812e-10	1.549510e+00	4.050962e-08	2.006483e-08	2.044479e-08
0.075         	-2.021814e-10	1.533920e+00	4.332573e-08	2.146068e-08	2.186504e-08
0.08          	-2.131797e-10	1.521167e+00	5.553863e-08	2.755614e-08	2.798249e-08
0.085         	-2.239975e-10	1.510588e+00	3.672018e-08	1.813609e-08	1.858409e-08
0.09          	-2.338517e-10	1.501484e+00	5.913336e-08	2.933283e-08	2.980053e-08
0.095         	-2.434925e-10	1.493685e+00	1.759645e-08	8.554732e-09	9.041717e-09
0.1           	-2.521201e-10	1.486858e+00	4.380566e-08	2.165071e-08	2.215495e-08
0.105         	-2.605481e-10	1.480772e+00	3.795254e-08	1.871572e-08	1.923682e-08
